Time,Th_ENB1,Delay_ENB1,Loss_ENB1,UE_ENB1,RSRP_ENB1,SINR_ENB1,Load_ENB1,HO_ENB1,ThTrend_ENB1,DelayTrend_ENB1,LossTrend_ENB1,Th_ENB2,Delay_ENB2,Loss_ENB2,UE_ENB2,RSRP_ENB2,SINR_ENB2,Load_ENB2,HO_ENB2,ThTrend_ENB2,DelayTrend_ENB2,LossTrend_ENB2,Th_ENB3,Delay_ENB3,Loss_ENB3,UE_ENB3,RSRP_ENB3,SINR_ENB3,Load_ENB3,HO_ENB3,ThTrend_ENB3,DelayTrend_ENB3,LossTrend_ENB3,Th_ENB4,Delay_ENB4,Loss_ENB4,UE_ENB4,RSRP_ENB4,SINR_ENB4,Load_ENB4,HO_ENB4,ThTrend_ENB4,DelayTrend_ENB4,LossTrend_ENB4,Th_ENB5,Delay_ENB5,Loss_ENB5,UE_ENB5,RSRP_ENB5,SINR_ENB5,Load_ENB5,HO_ENB5,ThTrend_ENB5,DelayTrend_ENB5,LossTrend_ENB5,Th_ENB6,Delay_ENB6,Loss_ENB6,UE_ENB6,RSRP_ENB6,SINR_ENB6,Load_ENB6,HO_ENB6,ThTrend_ENB6,DelayTrend_ENB6,LossTrend_ENB6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0015,111.125,60.3333,3,-55.6443,44.3557,0.15,0,1.0015,333.375,181,1.5233,40.4839,39.6667,3,-53.9568,46.0432,0.15,0,1.5233,121.452,119,1.91043,55.7091,54.6,5,-58.546,41.454,0.25,0,1.91043,278.545,273,3.69462,297.503,68.6429,14,-64.4792,35.5208,0.7,0,3.69462,4165.04,961,5.15059,355.366,76.4615,26,-60.8023,39.1977,1,0,5.15059,9239.5,1988,2.66787,91.3219,89.069,29,-62.7589,37.2411,1,0,2.66787,2648.33,2583
3,0.88368,116.931,62.6667,3,-56.1777,43.8223,0.15,0,-0.117824,17.4183,7,1.17824,56.4063,46.5,3,-54.6374,45.3626,0.15,0,-0.345056,47.7673,20.5,1.07725,65.1747,64.5,5,-58.6271,41.3729,0.25,0,-0.833184,47.3281,49.5,3.5263,364.129,69.3571,14,-64.6005,35.3995,0.7,0,-0.16832,932.765,10,3.91344,485.347,79.2885,26,-60.6326,39.3674,1,0,-1.23715,3379.51,73.5,4.45206,972.337,85.4138,29,-62.6819,37.3181,1,0,1.78419,25549.4,-106
4,0.824768,177.894,46.3333,2,-52.6029,47.3971,0.1,0,-0.058912,4.9935,-95.3333,1.07725,99.6388,25.1667,2,-49.8652,50.1348,0.1,0,-0.100992,30.0586,-89.1667,1.02675,88.5916,60.25,4,-57.0005,42.9995,0.2,0,-0.050496,28.4931,-81.5,3.48422,385.253,71.7333,15,-64.6806,35.3194,0.75,1,-0.04208,680.985,105,3.97235,568.731,80.8765,27,-60.6472,39.3528,1,1,0.058912,2736.72,122.167,4.66246,876.306,84.4444,30,-62.6553,37.3447,1,1,0.2104,-1908.57,56.3333
5,0.833184,178.844,47.375,2,-53.0998,46.9002,0.1,0,0.008416,1.90152,2.08333,1.03517,109.544,28.5,2,-50.8315,49.1685,0.1,0,-0.04208,19.8104,6.66667,1.2624,110.585,28.625,2,-52.5956,47.4044,0.1,0,0.235648,-133.197,-183.75,3.3159,421.805,72.2333,15,-64.8158,35.1842,0.75,0,-0.16832,548.286,7.5,4.00602,640.058,81.25,27,-60.4816,39.5184,1,0,0.033664,1925.85,10.0833,4.51098,814.511,84.4375,32,-62.9247,37.0753,1,2,-0.151488,-224.847,168.667
6,0.816352,30.3753,1.4,1,-49.22,50.78,0.05,0,-0.016832,-327.313,-93.35,0.723776,127.688,34.2,2,-51.7502,48.2498,0.1,0,-0.311392,36.2883,11.4,1.30448,112.502,27.4,2,-52.4873,47.5127,0.1,0,0.04208,3.83579,-2.45,3.08867,434.478,74.275,16,-65.1228,34.8772,0.8,1,-0.227232,624.575,104.9,4.13226,681.084,81.363,27,-60.3501,39.6499,1,0,0.12624,1107.69,3.05,4.48573,820.282,84.2188,32,-62.8571,37.1429,1,0,-0.025248,184.689,-7
7,0.833184,32.4206,1.33333,1,-49.2899,50.7101,0.05,0,0.016832,2.04535,-0.0666667,0.572288,143.065,39.5,2,-52.6293,47.3707,0.1,0,-0.151488,30.754,10.6,1.27923,111.623,26.8333,2,-52.3734,47.6266,0.1,0,-0.025248,-1.75921,-1.13333,3.04659,459.915,74.7917,16,-65.2426,34.7574,0.8,0,-0.04208,406.985,8.26667,4.16592,705.961,81.4136,27,-60.2727,39.7273,1,0,0.033664,671.67,1.36667,4.4689,823.918,84.0833,32,-62.7705,37.2295,1,0,-0.016832,116.327,-4.33333
8,0.765856,34.7452,2.42857,1,-49.365,50.635,0.05,0,-0.067328,2.32463,1.09524,0.235648,151.481,46.1429,2,-53.4745,46.5255,0.1,0,-0.33664,16.8319,13.2857,1.17824,112.623,27.2857,2,-52.2536,47.7464,0.1,0,-0.100992,2.00065,0.904762,2.91194,476.305,75.3036,16,-65.3653,34.6347,0.8,0,-0.134656,262.25,8.19048,4.22483,722.462,81.4127,27,-60.2447,39.7553,1,0,0.058912,445.544,-0.0238095,4.44365,828.591,84,32,-62.6584,37.3416,1,0,-0.025248,149.563,-2.66667
9,0.88368,35.6358,1.5,1,-49.4451,50.5549,0.05,0,0.117824,0.890545,-0.928571,0.100992,153.904,52.125,2,-54.29,45.71,0.1,0,-0.134656,4.84527,11.9643,1.1025,116.223,28.1875,2,-52.1277,47.8723,0.1,0,-0.075744,7.19877,1.80357,2.98768,487.766,75.6172,16,-65.4891,34.5109,0.8,0,0.075744,183.368,5.01786,4.29216,733.109,81.375,27,-60.2404,39.7596,1,0,0.067328,287.46,-1.01786,4.64563,833.848,83.8438,32,-62.5085,37.4915,1,0,0.201984,168.215,-5
10,0.816352,37.7254,1.66667,1,-49.53,50.47,0.05,0,-0.067328,2.08964,0.166667,0,153.904,57.4444,2,-55.0786,44.9214,0.1,0,-0.100992,0,10.6389,0.976256,119.507,29.7222,2,-51.9955,48.0045,0.1,0,-0.12624,6.56893,3.06944,3.02976,495.557,75.8264,16,-65.6122,34.3878,0.8,0,0.04208,124.654,3.34722,4.34266,737.645,81.321,27,-60.2359,39.7641,1,0,0.050496,122.46,-1.45833,4.56989,838.618,83.7535,32,-62.2921,37.7079,1,0,-0.075744,152.644,-2.88889
